Date,Price,Open,High,Low,Vol.,Change %
8/25/2019,29.2,29.0,29.6,28.5,15.52K,0.69%
9/1/2019,31.5,29.2,34.4,27.3,378.04K,7.88%
9/8/2019,30.0,31.9,31.9,29.0,75.46K,-4.76%
9/15/2019,30.0,30.0,30.5,29.3,41.03K,0.00%
9/22/2019,29.5,29.2,30.3,29.1,18.62K,-1.67%
9/29/2019,29.0,29.3,30.0,28.1,9.39K,-1.69%
10/6/2019,29.8,29.0,30.4,28.5,37.31K,2.76%
10/13/2019,30.6,29.9,30.9,28.7,60.63K,2.68%
10/20/2019,31.2,30.9,31.5,29.6,95.05K,1.96%
10/27/2019,32.9,30.5,33.2,30.5,107.76K,5.45%
11/3/2019,32.0,33.0,33.0,31.5,66.80K,-2.74%
11/10/2019,32.9,32.0,33.4,31.6,15.19K,2.81%
11/17/2019,32.5,33.2,34.5,30.2,193.98K,-1.22%
11/24/2019,33.0,33.3,34.0,30.8,91.12K,1.54%
12/1/2019,32.2,33.5,33.5,32.0,16.87K,-2.42%
12/8/2019,32.2,32.2,32.5,30.9,7.23K,0.00%
12/15/2019,30.9,30.7,31.8,29.9,41.26K,-4.04%
12/22/2019,31.2,30.7,31.2,29.8,22.47K,0.97%
12/29/2019,31.0,30.5,32.0,30.5,15.42K,-0.64%
1/5/2020,31.2,31.2,31.2,29.0,15.65K,0.65%
1/12/2020,30.4,31.4,31.4,29.9,2.26K,-2.56%
1/19/2020,30.8,30.9,31.4,29.5,17.85K,1.32%
1/26/2020,31.0,31.0,31.0,29.6,13.25K,0.65%
2/2/2020,30.0,30.8,30.9,29.1,3.53K,-3.23%
2/9/2020,29.7,29.8,30.8,29.5,10.91K,-1.00%
2/16/2020,30.1,29.8,30.8,29.5,5.66K,1.35%
2/23/2020,30.0,30.1,31.4,28.3,9.01K,-0.33%
3/1/2020,27.0,29.0,30.0,26.5,6.01K,-10.00%
3/8/2020,23.9,25.0,27.0,22.1,41.14K,-11.48%
3/15/2020,22.0,22.0,22.0,21.9,10.19K,-7.95%
5/10/2020,25.6,22.0,26.5,18.0,58.15K,16.36%
5/17/2020,27.7,26.0,29.0,26.0,33.69K,8.20%
5/24/2020,27.0,27.8,28.5,26.0,70.15K,-2.53%
5/31/2020,26.1,27.0,27.9,25.5,50.78K,-3.33%
6/7/2020,27.3,27.2,27.8,26.2,15.73K,4.60%
6/14/2020,27.5,27.5,28.2,26.9,17.49K,0.73%
6/21/2020,28.9,27.9,30.0,27.3,82.05K,5.09%
6/28/2020,28.7,28.9,29.5,28.4,35.25K,-0.69%
7/5/2020,28.0,29.0,29.3,28.0,29.53K,-2.44%
7/12/2020,28.4,27.5,29.2,27.0,50.35K,1.43%
7/19/2020,28.5,28.7,28.7,28.0,18.34K,0.35%
7/26/2020,29.0,28.4,29.5,28.0,180.31K,1.75%
8/2/2020,28.6,29.0,29.0,28.5,10.07K,-1.38%
8/9/2020,29.9,28.7,30.4,28.6,349.89K,4.55%
8/16/2020,29.5,30.2,31.0,29.5,268.36K,-1.34%
8/23/2020,30.0,29.5,30.0,29.5,352.94K,1.69%
8/30/2020,30.0,30.0,30.4,29.5,16.18K,0.00%
9/6/2020,30.3,30.3,31.0,29.6,211.51K,1.00%
9/13/2020,31.0,30.4,31.6,29.9,322.85K,2.31%
9/20/2020,30.6,31.3,31.3,30.3,251.52K,-1.29%
9/27/2020,32.8,31.0,33.5,31.0,1.17M,7.19%
10/4/2020,31.3,32.0,33.2,29.3,269.04K,-4.57%
10/11/2020,31.1,31.5,31.8,30.0,145.67K,-0.64%
10/18/2020,31.0,31.7,32.5,29.0,223.32K,-0.32%
10/25/2020,30.9,30.0,31.8,29.5,109.03K,-0.32%
11/1/2020,33.0,31.1,34.1,30.9,643.08K,6.80%
11/8/2020,33.1,33.1,33.5,32.0,155.44K,0.30%
11/15/2020,32.5,33.3,34.0,32.1,98.44K,-1.81%
11/22/2020,32.6,32.6,32.9,32.2,81.09K,0.31%
11/29/2020,32.7,32.7,32.9,32.2,121.49K,0.31%
12/6/2020,34.2,32.9,34.8,32.7,180.53K,4.59%
12/13/2020,33.9,34.3,34.3,33.6,92.38K,-0.88%
12/20/2020,33.6,33.9,33.9,33.0,95.30K,-0.88%
12/27/2020,33.7,33.5,34.0,33.4,31.96K,0.30%
1/3/2021,36.5,33.9,37.5,33.7,372.25K,8.31%
1/10/2021,42.7,36.5,42.9,36.0,472.56K,16.99%
1/17/2021,39.9,42.7,42.9,38.4,347.96K,-6.56%
1/24/2021,40.0,40.5,40.5,38.4,204.04K,0.25%
1/31/2021,38.4,39.0,39.9,35.4,126.65K,-4.00%
2/7/2021,37.7,38.4,38.7,34.8,94.45K,-1.82%
2/14/2021,36.5,37.7,37.7,35.0,74.70K,-3.18%
